PassengerId,Sex,Age,Pclass,Companions,Fare,Embarked_C,Embarked_Q,Embarked_S,Survived
1,male,22.0,3,1,7.25,0,0,1,0
2,female,38.0,1,1,71.28,1,0,0,1
3,female,26.0,3,0,7.92,0,0,1,1
4,female,35.0,1,1,53.1,0,0,1,1
5,male,35.0,3,0,8.05,0,0,1,0
6,male,30.0,3,0,8.46,0,1,0,0
7,male,54.0,1,0,51.86,0,0,1,0
8,male,2.0,3,1,21.07,0,0,1,0
9,female,27.0,3,0,11.13,0,0,1,1
10,female,14.0,2,1,30.07,1,0,0,1
11,female,4.0,3,1,16.7,0,0,1,1
12,female,58.0,1,0,26.55,0,0,1,1
13,male,20.0,3,0,8.05,0,0,1,0
14,male,39.0,3,1,31.27,0,0,1,0
15,female,14.0,3,0,7.85,0,0,1,0
16,female,55.0,2,0,16.0,0,0,1,1
17,male,2.0,3,1,29.12,0,1,0,0
18,male,30.0,2,0,13.0,0,0,1,1
19,female,31.0,3,1,18.0,0,0,1,0
20,female,30.0,3,0,7.22,1,0,0,1
21,male,35.0,2,0,26.0,0,0,1,0
22,male,34.0,2,0,13.0,0,0,1,1
23,female,15.0,3,0,8.03,0,1,0,1
24,male,28.0,1,0,35.5,0,0,1,1
25,female,8.0,3,1,21.07,0,0,1,0
26,female,38.0,3,1,31.39,0,0,1,1
27,male,30.0,3,0,7.22,1,0,0,0
28,male,19.0,1,1,263.0,0,0,1,0
29,female,30.0,3,0,7.88,0,1,0,1
30,male,30.0,3,0,7.9,0,0,1,0
31,male,40.0,1,0,27.72,1,0,0,0
32,female,30.0,1,1,146.52,1,0,0,1
33,female,30.0,3,0,7.75,0,1,0,1
34,male,66.0,2,0,10.5,0,0,1,0
35,male,28.0,1,1,82.17,1,0,0,0
36,male,42.0,1,1,52.0,0,0,1,0
37,male,30.0,3,0,7.23,1,0,0,1
38,male,21.0,3,0,8.05,0,0,1,0
39,female,18.0,3,1,18.0,0,0,1,0
40,female,14.0,3,1,11.24,1,0,0,1
41,female,40.0,3,1,9.47,0,0,1,0
42,female,27.0,2,1,21.0,0,0,1,0
43,male,30.0,3,0,7.9,1,0,0,0
44,female,3.0,2,1,41.58,1,0,0,1
45,female,19.0,3,0,7.88,0,1,0,1
46,male,30.0,3,0,8.05,0,0,1,0
47,male,30.0,3,1,15.5,0,1,0,0
48,female,30.0,3,0,7.75,0,1,0,1
49,male,30.0,3,1,21.68,1,0,0,0
50,female,18.0,3,1,17.8,0,0,1,0
51,male,7.0,3,1,39.69,0,0,1,0
52,male,21.0,3,0,7.8,0,0,1,0
53,female,49.0,1,1,76.73,1,0,0,1
54,female,29.0,2,1,26.0,0,0,1,1
55,male,65.0,1,0,61.98,1,0,0,0
56,male,30.0,1,0,35.5,0,0,1,1
57,female,21.0,2,0,10.5,0,0,1,1
58,male,28.0,3,0,7.23,1,0,0,0
59,female,5.0,2,1,27.75,0,0,1,1
60,male,11.0,3,1,46.9,0,0,1,0
61,male,22.0,3,0,7.23,1,0,0,0
62,female,38.0,1,0,80.0,0,0,1,1
63,male,45.0,1,1,83.47,0,0,1,0
64,male,4.0,3,1,27.9,0,0,1,0
65,male,30.0,1,0,27.72,1,0,0,0
66,male,30.0,3,1,15.25,1,0,0,1
67,female,29.0,2,0,10.5,0,0,1,1
68,male,19.0,3,0,8.16,0,0,1,0
69,female,17.0,3,1,7.92,0,0,1,1
70,male,26.0,3,1,8.66,0,0,1,0
71,male,32.0,2,0,10.5,0,0,1,0
72,female,16.0,3,1,46.9,0,0,1,0
73,male,21.0,2,0,73.5,0,0,1,0
74,male,26.0,3,1,14.45,1,0,0,0
75,male,32.0,3,0,56.5,0,0,1,1
76,male,25.0,3,0,7.65,0,0,1,0
77,male,30.0,3,0,7.9,0,0,1,0
78,male,30.0,3,0,8.05,0,0,1,0
79,male,0.83,2,0,29.0,0,0,1,1
80,female,30.0,3,0,12.47,0,0,1,1
81,male,22.0,3,0,9.0,0,0,1,0
82,male,29.0,3,0,9.5,0,0,1,1
83,female,30.0,3,0,7.79,0,1,0,1
84,male,28.0,1,0,47.1,0,0,1,0
85,female,17.0,2,0,10.5,0,0,1,1
86,female,33.0,3,1,15.85,0,0,1,1
87,male,16.0,3,1,34.38,0,0,1,0
88,male,30.0,3,0,8.05,0,0,1,0
89,female,23.0,1,1,263.0,0,0,1,1
90,male,24.0,3,0,8.05,0,0,1,0
91,male,29.0,3,0,8.05,0,0,1,0
92,male,20.0,3,0,7.85,0,0,1,0
93,male,46.0,1,1,61.17,0,0,1,0
94,male,26.0,3,1,20.57,0,0,1,0
95,male,59.0,3,0,7.25,0,0,1,0
96,male,30.0,3,0,8.05,0,0,1,0
97,male,71.0,1,0,34.65,1,0,0,0
98,male,23.0,1,0,63.36,1,0,0,1
99,female,34.0,2,0,23.0,0,0,1,1
100,male,34.0,2,1,26.0,0,0,1,0
101,female,28.0,3,0,7.9,0,0,1,0
102,male,30.0,3,0,7.9,0,0,1,0
103,male,21.0,1,0,77.29,0,0,1,0
104,male,33.0,3,0,8.65,0,0,1,0
105,male,37.0,3,1,7.92,0,0,1,0
106,male,28.0,3,0,7.9,0,0,1,0
107,female,21.0,3,0,7.65,0,0,1,1
108,male,30.0,3,0,7.78,0,0,1,1
109,male,38.0,3,0,7.9,0,0,1,0
110,female,30.0,3,1,24.15,0,1,0,1
111,male,47.0,1,0,52.0,0,0,1,0
112,female,14.0,3,1,14.45,1,0,0,0
113,male,22.0,3,0,8.05,0,0,1,0
114,female,20.0,3,1,9.82,0,0,1,0
115,female,17.0,3,0,14.46,1,0,0,0
116,male,21.0,3,0,7.92,0,0,1,0
117,male,70.0,3,0,7.75,0,1,0,0
118,male,29.0,2,1,21.0,0,0,1,0
119,male,24.0,1,0,247.52,1,0,0,0
120,female,2.0,3,1,31.27,0,0,1,0
121,male,21.0,2,1,73.5,0,0,1,0
122,male,30.0,3,0,8.05,0,0,1,0
123,male,32.0,2,1,30.07,1,0,0,0
124,female,32.0,2,0,13.0,0,0,1,1
125,male,54.0,1,0,77.29,0,0,1,0
126,male,12.0,3,1,11.24,1,0,0,1
127,male,30.0,3,0,7.75,0,1,0,0
128,male,24.0,3,0,7.14,0,0,1,1
129,female,30.0,3,1,22.36,1,0,0,1
130,male,45.0,3,0,6.97,0,0,1,0
131,male,33.0,3,0,7.9,1,0,0,0
132,male,20.0,3,0,7.05,0,0,1,0
133,female,47.0,3,1,14.5,0,0,1,0
134,female,29.0,2,1,26.0,0,0,1,1
135,male,25.0,2,0,13.0,0,0,1,0
136,male,23.0,2,0,15.05,1,0,0,0
137,female,19.0,1,0,26.28,0,0,1,1
138,male,37.0,1,1,53.1,0,0,1,0
139,male,16.0,3,0,9.22,0,0,1,0
140,male,24.0,1,0,79.2,1,0,0,0
141,female,30.0,3,0,15.25,1,0,0,0
142,female,22.0,3,0,7.75,0,0,1,1
143,female,24.0,3,1,15.85,0,0,1,1
144,male,19.0,3,0,6.75,0,1,0,0
145,male,18.0,2,0,11.5,0,0,1,0
146,male,19.0,2,1,36.75,0,0,1,0
147,male,27.0,3,0,7.8,0,0,1,1
148,female,9.0,3,1,34.38,0,0,1,0
149,male,36.0,2,0,26.0,0,0,1,0
150,male,42.0,2,0,13.0,0,0,1,0
151,male,51.0,2,0,12.53,0,0,1,0
152,female,22.0,1,1,66.6,0,0,1,1
153,male,56.0,3,0,8.05,0,0,1,0
154,male,40.0,3,0,14.5,0,0,1,0
155,male,30.0,3,0,7.31,0,0,1,0
156,male,51.0,1,0,61.38,1,0,0,0
157,female,16.0,3,0,7.73,0,1,0,1
158,male,30.0,3,0,8.05,0,0,1,0
159,male,30.0,3,0,8.66,0,0,1,0
160,male,30.0,3,1,69.55,0,0,1,0
161,male,44.0,3,0,16.1,0,0,1,0
162,female,40.0,2,0,15.75,0,0,1,1
163,male,26.0,3,0,7.78,0,0,1,0
164,male,17.0,3,0,8.66,0,0,1,0
165,male,1.0,3,1,39.69,0,0,1,0
166,male,9.0,3,0,20.52,0,0,1,1
167,female,30.0,1,0,55.0,0,0,1,1
168,female,45.0,3,1,27.9,0,0,1,0
169,male,30.0,1,0,25.93,0,0,1,0
170,male,28.0,3,0,56.5,0,0,1,0
171,male,61.0,1,0,33.5,0,0,1,0
172,male,4.0,3,1,29.12,0,1,0,0
173,female,1.0,3,1,11.13,0,0,1,1
174,male,21.0,3,0,7.92,0,0,1,0
175,male,56.0,1,0,30.7,1,0,0,0
176,male,18.0,3,1,7.85,0,0,1,0
177,male,30.0,3,1,25.47,0,0,1,0
178,female,50.0,1,0,28.71,1,0,0,0
179,male,30.0,2,0,13.0,0,0,1,0
180,male,36.0,3,0,0.0,0,0,1,0
181,female,30.0,3,1,69.55,0,0,1,0
182,male,30.0,2,0,15.05,1,0,0,0
183,male,9.0,3,1,31.39,0,0,1,0
184,male,1.0,2,1,39.0,0,0,1,1
185,female,4.0,3,0,22.02,0,0,1,1
186,male,30.0,1,0,50.0,0,0,1,0
187,female,30.0,3,1,15.5,0,1,0,1
188,male,45.0,1,0,26.55,0,0,1,1
189,male,40.0,3,1,15.5,0,1,0,0
190,male,36.0,3,0,7.9,0,0,1,0
191,female,32.0,2,0,13.0,0,0,1,1
192,male,19.0,2,0,13.0,0,0,1,0
193,female,19.0,3,1,7.85,0,0,1,1
194,male,3.0,2,1,26.0,0,0,1,1
195,female,44.0,1,0,27.72,1,0,0,1
196,female,58.0,1,0,146.52,1,0,0,1
197,male,30.0,3,0,7.75,0,1,0,0
198,male,42.0,3,0,8.4,0,0,1,0
199,female,30.0,3,0,7.75,0,1,0,1
200,female,24.0,2,0,13.0,0,0,1,0
201,male,28.0,3,0,9.5,0,0,1,0
202,male,30.0,3,1,69.55,0,0,1,0
203,male,34.0,3,0,6.5,0,0,1,0
204,male,46.0,3,0,7.22,1,0,0,0
205,male,18.0,3,0,8.05,0,0,1,1
206,female,2.0,3,0,10.46,0,0,1,0
207,male,32.0,3,1,15.85,0,0,1,0
208,male,26.0,3,0,18.79,1,0,0,1
209,female,16.0,3,0,7.75,0,1,0,1
210,male,40.0,1,0,31.0,1,0,0,1
211,male,24.0,3,0,7.05,0,0,1,0
212,female,35.0,2,0,21.0,0,0,1,1
213,male,22.0,3,0,7.25,0,0,1,0
214,male,30.0,2,0,13.0,0,0,1,0
215,male,30.0,3,1,7.75,0,1,0,0
216,female,31.0,1,1,113.28,1,0,0,1
217,female,27.0,3,0,7.92,0,0,1,1
218,male,42.0,2,1,27.0,0,0,1,0
219,female,32.0,1,0,76.29,1,0,0,1
220,male,30.0,2,0,10.5,0,0,1,0
221,male,16.0,3,0,8.05,0,0,1,1
222,male,27.0,2,0,13.0,0,0,1,0
223,male,51.0,3,0,8.05,0,0,1,0
224,male,30.0,3,0,7.9,0,0,1,0
225,male,38.0,1,1,90.0,0,0,1,1
226,male,22.0,3,0,9.35,0,0,1,0
227,male,19.0,2,0,10.5,0,0,1,1
228,male,20.0,3,0,7.25,0,0,1,0
229,male,18.0,2,0,13.0,0,0,1,0
230,female,30.0,3,1,25.47,0,0,1,0
231,female,35.0,1,1,83.47,0,0,1,1
232,male,29.0,3,0,7.78,0,0,1,0
233,male,59.0,2,0,13.5,0,0,1,0
234,female,5.0,3,1,31.39,0,0,1,1
235,male,24.0,2,0,10.5,0,0,1,0
236,female,30.0,3,0,7.55,0,0,1,0
237,male,44.0,2,1,26.0,0,0,1,0
238,female,8.0,2,0,26.25,0,0,1,1
239,male,19.0,2,0,10.5,0,0,1,0
240,male,33.0,2,0,12.28,0,0,1,0
241,female,30.0,3,1,14.45,1,0,0,0
242,female,30.0,3,1,15.5,0,1,0,1
243,male,29.0,2,0,10.5,0,0,1,0
244,male,22.0,3,0,7.12,0,0,1,0
245,male,30.0,3,0,7.22,1,0,0,0
246,male,44.0,1,1,90.0,0,1,0,0
247,female,25.0,3,0,7.78,0,0,1,0
248,female,24.0,2,0,14.5,0,0,1,1
249,male,37.0,1,1,52.55,0,0,1,1
250,male,54.0,2,1,26.0,0,0,1,0
251,male,30.0,3,0,7.25,0,0,1,0
252,female,29.0,3,1,10.46,0,0,1,0
253,male,62.0,1,0,26.55,0,0,1,0
254,male,30.0,3,1,16.1,0,0,1,0
255,female,41.0,3,0,20.21,0,0,1,0
256,female,29.0,3,0,15.25,1,0,0,1
257,female,30.0,1,0,79.2,1,0,0,1
258,female,30.0,1,0,86.5,0,0,1,1
259,female,35.0,1,0,512.33,1,0,0,1
260,female,50.0,2,0,26.0,0,0,1,1
261,male,30.0,3,0,7.75,0,1,0,0
262,male,3.0,3,1,31.39,0,0,1,1
263,male,52.0,1,1,79.65,0,0,1,0
264,male,40.0,1,0,0.0,0,0,1,0
265,female,30.0,3,0,7.75,0,1,0,0
266,male,36.0,2,0,10.5,0,0,1,0
267,male,16.0,3,1,39.69,0,0,1,0
268,male,25.0,3,1,7.78,0,0,1,1
269,female,58.0,1,0,153.46,0,0,1,1
270,female,35.0,1,0,135.63,0,0,1,1
271,male,30.0,1,0,31.0,0,0,1,0
272,male,25.0,3,0,0.0,0,0,1,1
273,female,41.0,2,0,19.5,0,0,1,1
274,male,37.0,1,0,29.7,1,0,0,0
275,female,30.0,3,0,7.75,0,1,0,1
276,female,63.0,1,1,77.96,0,0,1,1
277,female,45.0,3,0,7.75,0,0,1,0
278,male,30.0,2,0,0.0,0,0,1,0
279,male,7.0,3,1,29.12,0,1,0,0
280,female,35.0,3,1,20.25,0,0,1,1
281,male,65.0,3,0,7.75,0,1,0,0
282,male,28.0,3,0,7.85,0,0,1,0
283,male,16.0,3,0,9.5,0,0,1,0
284,male,19.0,3,0,8.05,0,0,1,1
285,male,30.0,1,0,26.0,0,0,1,0
286,male,33.0,3,0,8.66,1,0,0,0
287,male,30.0,3,0,9.5,0,0,1,1
288,male,22.0,3,0,7.9,0,0,1,0
289,male,42.0,2,0,13.0,0,0,1,1
290,female,22.0,3,0,7.75,0,1,0,1
291,female,26.0,1,0,78.85,0,0,1,1
292,female,19.0,1,1,91.08,1,0,0,1
293,male,36.0,2,0,12.88,1,0,0,0
294,female,24.0,3,0,8.85,0,0,1,0
295,male,24.0,3,0,7.9,0,0,1,0
296,male,30.0,1,0,27.72,1,0,0,0
297,male,24.0,3,0,7.23,1,0,0,0
298,female,2.0,1,1,151.55,0,0,1,0
299,male,30.0,1,0,30.5,0,0,1,1
300,female,50.0,1,0,247.52,1,0,0,1
301,female,30.0,3,0,7.75,0,1,0,1
302,male,30.0,3,1,23.25,0,1,0,1
303,male,19.0,3,0,0.0,0,0,1,0
304,female,30.0,2,0,12.35,0,1,0,1
305,male,30.0,3,0,8.05,0,0,1,0
306,male,0.92,1,1,151.55,0,0,1,1
307,female,30.0,1,0,110.88,1,0,0,1
308,female,17.0,1,1,108.9,1,0,0,1
309,male,30.0,2,1,24.0,1,0,0,0
310,female,30.0,1,0,56.93,1,0,0,1
311,female,24.0,1,0,83.16,1,0,0,1
312,female,18.0,1,1,262.38,1,0,0,1
313,female,26.0,2,1,26.0,0,0,1,0
314,male,28.0,3,0,7.9,0,0,1,0
315,male,43.0,2,1,26.25,0,0,1,0
316,female,26.0,3,0,7.85,0,0,1,1
317,female,24.0,2,1,26.0,0,0,1,1
318,male,54.0,2,0,14.0,0,0,1,0
319,female,31.0,1,0,164.87,0,0,1,1
320,female,40.0,1,1,134.5,1,0,0,1
321,male,22.0,3,0,7.25,0,0,1,0
322,male,27.0,3,0,7.9,0,0,1,0
323,female,30.0,2,0,12.35,0,1,0,1
324,female,22.0,2,1,29.0,0,0,1,1
325,male,30.0,3,1,69.55,0,0,1,0
326,female,36.0,1,0,135.63,1,0,0,1
327,male,61.0,3,0,6.24,0,0,1,0
328,female,36.0,2,0,13.0,0,0,1,1
329,female,31.0,3,1,20.52,0,0,1,1
330,female,16.0,1,0,57.98,1,0,0,1
331,female,30.0,3,1,23.25,0,1,0,1
332,male,46.0,1,0,28.5,0,0,1,0
333,male,38.0,1,0,153.46,0,0,1,0
334,male,16.0,3,1,18.0,0,0,1,0
335,female,30.0,1,1,133.65,0,0,1,1
336,male,30.0,3,0,7.9,0,0,1,0
337,male,29.0,1,1,66.6,0,0,1,0
338,female,41.0,1,0,134.5,1,0,0,1
339,male,45.0,3,0,8.05,0,0,1,1
340,male,45.0,1,0,35.5,0,0,1,0
341,male,2.0,2,1,26.0,0,0,1,1
342,female,24.0,1,1,263.0,0,0,1,1
343,male,28.0,2,0,13.0,0,0,1,0
344,male,25.0,2,0,13.0,0,0,1,0
345,male,36.0,2,0,13.0,0,0,1,0
346,female,24.0,2,0,13.0,0,0,1,1
347,female,40.0,2,0,13.0,0,0,1,1
348,female,30.0,3,1,16.1,0,0,1,1
349,male,3.0,3,1,15.9,0,0,1,1
350,male,42.0,3,0,8.66,0,0,1,0
351,male,23.0,3,0,9.22,0,0,1,0
352,male,30.0,1,0,35.0,0,0,1,0
353,male,15.0,3,1,7.23,1,0,0,0
354,male,25.0,3,1,17.8,0,0,1,0
355,male,30.0,3,0,7.22,1,0,0,0
356,male,28.0,3,0,9.5,0,0,1,0
357,female,22.0,1,0,55.0,0,0,1,1
358,female,38.0,2,0,13.0,0,0,1,0
359,female,30.0,3,0,7.88,0,1,0,1
360,female,30.0,3,0,7.88,0,1,0,1
361,male,40.0,3,1,27.9,0,0,1,0
362,male,29.0,2,1,27.72,1,0,0,0
363,female,45.0,3,0,14.45,1,0,0,0
364,male,35.0,3,0,7.05,0,0,1,0
365,male,30.0,3,1,15.5,0,1,0,0
366,male,30.0,3,0,7.25,0,0,1,0
367,female,60.0,1,1,75.25,1,0,0,1
368,female,30.0,3,0,7.23,1,0,0,1
369,female,30.0,3,0,7.75,0,1,0,1
370,female,24.0,1,0,69.3,1,0,0,1
371,male,25.0,1,1,55.44,1,0,0,1
372,male,18.0,3,1,6.5,0,0,1,0
373,male,19.0,3,0,8.05,0,0,1,0
374,male,22.0,1,0,135.63,1,0,0,0
375,female,3.0,3,1,21.07,0,0,1,0
376,female,30.0,1,1,82.17,1,0,0,1
377,female,22.0,3,0,7.25,0,0,1,1
378,male,27.0,1,0,211.5,1,0,0,0
379,male,20.0,3,0,4.01,1,0,0,0
380,male,19.0,3,0,7.78,0,0,1,0
381,female,42.0,1,0,227.53,1,0,0,1
382,female,1.0,3,0,15.74,1,0,0,1
383,male,32.0,3,0,7.92,0,0,1,0
384,female,35.0,1,1,52.0,0,0,1,1
385,male,30.0,3,0,7.9,0,0,1,0
386,male,18.0,2,0,73.5,0,0,1,0
387,male,1.0,3,1,46.9,0,0,1,0
388,female,36.0,2,0,13.0,0,0,1,1
389,male,30.0,3,0,7.73,0,1,0,0
390,female,17.0,2,0,12.0,1,0,0,1
391,male,36.0,1,1,120.0,0,0,1,1
392,male,21.0,3,0,7.8,0,0,1,1
393,male,28.0,3,1,7.92,0,0,1,0
394,female,23.0,1,1,113.28,1,0,0,1
395,female,24.0,3,0,16.7,0,0,1,1
396,male,22.0,3,0,7.8,0,0,1,0
397,female,31.0,3,0,7.85,0,0,1,0
398,male,46.0,2,0,26.0,0,0,1,0
399,male,23.0,2,0,10.5,0,0,1,0
400,female,28.0,2,0,12.65,0,0,1,1
401,male,39.0,3,0,7.92,0,0,1,1
402,male,26.0,3,0,8.05,0,0,1,0
403,female,21.0,3,1,9.82,0,0,1,0
404,male,28.0,3,1,15.85,0,0,1,0
405,female,20.0,3,0,8.66,0,0,1,0
406,male,34.0,2,1,21.0,0,0,1,0
407,male,51.0,3,0,7.75,0,0,1,0
408,male,3.0,2,1,18.75,0,0,1,1
409,male,21.0,3,0,7.78,0,0,1,0
410,female,30.0,3,1,25.47,0,0,1,0
411,male,30.0,3,0,7.9,0,0,1,0
412,male,30.0,3,0,6.86,0,1,0,0
413,female,33.0,1,1,90.0,0,1,0,1
414,male,30.0,2,0,0.0,0,0,1,0
415,male,44.0,3,0,7.92,0,0,1,1
416,female,30.0,3,0,8.05,0,0,1,0
417,female,34.0,2,1,32.5,0,0,1,1
418,female,18.0,2,0,13.0,0,0,1,1
419,male,30.0,2,0,13.0,0,0,1,0
420,female,10.0,3,0,24.15,0,0,1,0
421,male,30.0,3,0,7.9,1,0,0,0
422,male,21.0,3,0,7.73,0,1,0,0
423,male,29.0,3,0,7.88,0,0,1,0
424,female,28.0,3,1,14.4,0,0,1,0
425,male,18.0,3,1,20.21,0,0,1,0
426,male,30.0,3,0,7.25,0,0,1,0
427,female,28.0,2,1,26.0,0,0,1,1
428,female,19.0,2,0,26.0,0,0,1,1
429,male,30.0,3,0,7.75,0,1,0,0
430,male,32.0,3,0,8.05,0,0,1,1
431,male,28.0,1,0,26.55,0,0,1,1
432,female,30.0,3,1,16.1,0,0,1,1
433,female,42.0,2,1,26.0,0,0,1,1
434,male,17.0,3,0,7.12,0,0,1,0
435,male,50.0,1,1,55.9,0,0,1,0
436,female,14.0,1,1,120.0,0,0,1,1
437,female,21.0,3,1,34.38,0,0,1,0
438,female,24.0,2,1,18.75,0,0,1,1
439,male,64.0,1,1,263.0,0,0,1,0
440,male,31.0,2,0,10.5,0,0,1,0
441,female,45.0,2,1,26.25,0,0,1,1
442,male,20.0,3,0,9.5,0,0,1,0
443,male,25.0,3,1,7.78,0,0,1,0
444,female,28.0,2,0,13.0,0,0,1,1
